Province,Year,Month,MonthNum,Cases,Deaths
Banteay Meanchey,2018,Jan,1,4,0
Banteay Meanchey,2018,Feb,2,8,0
Banteay Meanchey,2018,Mar,3,12,0
Banteay Meanchey,2018,Apr,4,13,0
Banteay Meanchey,2018,May,5,36,0
Banteay Meanchey,2018,Jun,6,86,0
Banteay Meanchey,2018,Jul,7,112,0
Banteay Meanchey,2018,Aug,8,100,0
Banteay Meanchey,2018,Sep,9,119,0
Banteay Meanchey,2018,Oct,10,126,0
Banteay Meanchey,2018,Nov,11,97,0
Banteay Meanchey,2018,Dec,12,70,0
Banteay Meanchey,2019,Jan,1,34,0
Banteay Meanchey,2019,Feb,2,61,0
Banteay Meanchey,2019,Mar,3,84,0
Banteay Meanchey,2019,Apr,4,156,0
Banteay Meanchey,2019,May,5,360,0
Banteay Meanchey,2019,Jun,6,1026,0
Banteay Meanchey,2019,Jul,7,1349,0
Banteay Meanchey,2019,Aug,8,941,0
Banteay Meanchey,2019,Sep,9,413,0
Banteay Meanchey,2019,Oct,10,318,0
Banteay Meanchey,2019,Nov,11,164,0
Banteay Meanchey,2019,Dec,12,53,0
Banteay Meanchey,2020,Jan,1,36,0
Banteay Meanchey,2020,Feb,2,24,0
Banteay Meanchey,2020,Mar,3,30,0
Banteay Meanchey,2020,Apr,4,12,0
Banteay Meanchey,2020,May,5,28,0
Banteay Meanchey,2020,Jun,6,39,0
Banteay Meanchey,2020,Jul,7,154,0
Banteay Meanchey,2020,Aug,8,239,0
Banteay Meanchey,2020,Sep,9,220,0
Banteay Meanchey,2020,Oct,10,72,0
Banteay Meanchey,2020,Nov,11,29,0
Banteay Meanchey,2020,Dec,12,19,0
Banteay Meanchey,2021,Jan,1,2,0
Banteay Meanchey,2021,Feb,2,3,0
Banteay Meanchey,2021,Mar,3,5,0
Banteay Meanchey,2021,Apr,4,4,0
Banteay Meanchey,2021,May,5,1,0
Banteay Meanchey,2021,Jun,6,2,0
Banteay Meanchey,2021,Jul,7,3,0
Banteay Meanchey,2021,Aug,8,3,0
Banteay Meanchey,2021,Sep,9,1,0
Banteay Meanchey,2021,Oct,10,4,0
Banteay Meanchey,2021,Nov,11,5,0
Banteay Meanchey,2022,Jan,1,1,0
Banteay Meanchey,2022,Feb,2,6,0
Banteay Meanchey,2022,Mar,3,6,0
Banteay Meanchey,2022,Apr,4,12,0
Banteay Meanchey,2022,May,5,44,0
Banteay Meanchey,2022,Jun,6,137,1
Banteay Meanchey,2022,Jul,7,117,0
Banteay Meanchey,2022,Aug,8,135,0
Banteay Meanchey,2022,Sep,9,117,0
Banteay Meanchey,2022,Oct,10,154,0
