Province,2018,2019,2020,2021,2022,2023,2024,2025,2026
Banteay Meanchey,877925,891574,905435,919512,933435,947186,960755,974136,987347
Battambang,1015729,1031520,1047557,1063843,1079953,1095862,1111561,1127042,1142327
Kampong Cham,916540,930789,945259,959954,974490,988846,1003012,1016981,1030773
Kampong Chhnang,536836,545182,553658,562266,570780,579189,587486,595668,603746
Kampong Speu,893858,907754,921866,936197,950374,964374,978189,991813,1005264
Kampong Thom,694235,705028,715989,727120,738130,749004,759734,770315,780762
Kampot,604881,614285,623836,633535,643128,652602,661951,671170,680273
Kandal,1223947,1242975,1262299,1281923,1301335,1320505,1339422,1358077,1376495
Kep,43459,44135,44821,45518,46207,46888,47559,48222,48876
Koh Kong,128245,130239,132264,134320,136354,138363,140345,142300,144230
Kratie,381732,387666,393692,399812,405867,411846,417746,423564,429308
Mondul Kiri,93930,95390,96873,98379,99868,101340,102791,104223,105636
Otdar Meanchey,281177,285548,289987,294495,298954,303358,307704,311990,316221
Pailin,76512,77701,78908,80134,81348,82546,83729,84895,86046
Phnom Penh,2324424,2360562,2397261,2434531,2471395,2507803,2543729,2579157,2614134
Preah Sihanouk,315842,320753,325740,330805,335814,340761,345642,350456,355209
Preah Vihear,259570,263606,267704,271866,275982,280048,284060,288016,291922
Prey Veng,1077407,1094157,1111168,1128443,1145530,1162406,1179058,1195479,1211692
Pursat,427768,434419,441173,448032,454816,454816,468127,474647,481084
Ratanak Kiri,221499,224943,228441,231993,235506,238975,242398,245774,249108
Siem Reap,1033114,1049175,1065485,1082049,1098434,1114616,1130583,1146330,1161876
Stung Treng,168798,171422,174087,176793,179470,182114,184723,187296,189836
Svay Rieng,535277,543599,552051,560634,569123,577507,585780,593939,601993
Takeo,917685,931951,946439,961152,975707,990080,1004264,1018251,1032060
Tboung Khmum,791301,803603,816096,828783,841333,853727,865958,878018,889926
